腿 搁在办公桌上,办公桌
装住我的情绪 再来装她,装住
好了疼 也许能够忘掉伤疤,伤疤
别搞沉 当作她能让我长大,别搞
她的离开让我找到我的方向,找到
握紧梦想 不再跟人商量,握紧
只有钱能够牵人走,能够
看着他们被牵着走,看着
我的钱已经先得手,得手
homie都要我抽点,抽点
但是我已经收敛,收敛
除了遇到她的那个秋天,遇到
我会和我兄弟一起chill点 ya ya ya,我会
好像我变成蓝色 天空泛起了灰,泛起
太阳半升在云层 暴风雨开始吹,云层
早被打破的规则 她把我开始推,打破
别再跟我说对的  because
maybe 我的内心戏 在不停的累积,累积
后视镜的背影 看着她走远去,后视镜
败坏了的情绪 呼吸变得急剧,败坏
我自大 眼中无人 听不见 任何建议,听不见
思维跳跃  like 超级玛丽 拥有无限个金币,超级玛丽
才华大富翁  无限的经济,大富翁
但我爱的还是太像白痴,白痴
问题来的时候我又没了台词,没了
注定她的离开只能我来记载,注定
记住她的笑容记住她的习惯,记住
好像我变成蓝色 天空泛起了灰,泛起
太阳半升在云层 暴风雨开始吹,云层
早被打破的规则 她把我开始推,打破
别再跟我说对的  because
他喜欢睡前在脑海里反复的演绎,脑海
拨开梦境的涟猗,涟猗
这是他的避风港,避风港
时间是扭曲的,扭曲
用黏土搭砌着心灵的岛屿,黏土
隔离坏心情和遭遇,隔离
离开现实不远处逃离了很多事,逃离
无忧无虑真的是对他很奢侈
他脚底有爬不完的阶梯,不完
落脚之间也没歇脚的间隙,歇脚
他像盘旋再没有尽头的闸道,闸道
没人帮他擦去汗水,汗水
像是跑下坡的他停不下他自己,停不下
他不再相信世界有奇迹,奇迹
他因此沉沦与梦中的世界,沉沦
颓废在梦中的世界,世界
习惯了梦中的世界,习惯
不想离开梦中的世界,不想
如果你問我 是否有困惑,是否
那答案是真的 想想也真扯,想想
有人争着 与现实交易着梦想,梦想
我却像倔强的孩子紧抱着不放,紧抱
也路过 收购梦想的市场,路过
发现饶舌梦在那里没什么市场,饶舌
这世上总有几个主角很固执,主角
领衔着几个百折不挠的故事,领衔
我和我的一意孤行走远了
知道险恶 只能铤而走险了,只能
翻山越岭 过荒山野岭,荒山野岭
把杂念结冰 我下定了决心,杂念
总是徘徊在出发点的门前,出发点
将犹豫埋藏 一直伴随我成年,埋藏
或许是担心失败时我不太善辩能言,能言
又或许是面对失落感无法气定神闲,失落感
时常望着 那模糊的镜面,镜面
对抗着 失望的 是那仅存的信念,信念
空荡中 释放和梦想擦出的静电,擦出
所期望的 又能否得到应验,应验
把那些扰乱的思绪放在脑中搅拌,搅拌
让我做个了断 是对自己的挑战,挑战
又何必在意任何结果和所有原因,在意
下笔前的刹那间 我下定了决心,下笔
虽说不至于辗转难眠 但经常有难产,难产
有时写的自己越看越反感,看越
灵感的干旱 总是不期而至
总跳不出格子 韵脚总是不合适,韵脚
会太过苛刻 有时对歌词,歌词
对flow适可而止 不用太奢侈,不用
即便如此 也会钻牛角尖,钻牛角尖
事倍功半的经历也有好些,事倍功半
也有流产 也有想法会夭折,夭折
也有顺产 却没见人来道贺,顺产
我竭尽全力打造每一颗结晶,结晶
这条路没捷径 我下定了决心,条路
从哪一天起 我下定了决心,下定
夜色拨开白天的尘埃 让人们更相爱,拨开
又一帮香水男 上演着甄嬛传,香水
这城市里面 早已习惯,习惯
习惯了地沟油的晚餐 猜疑变成了习惯,地沟油
又习惯了不太习惯的西式晚餐,习惯
习惯了物质堆出来的浪漫,习惯
文化是廉价套餐 他们都已经习惯,套餐
习惯用苹果播放小苹果的习惯,习惯
习惯了计算问题都得用算计 算计到不刻意,算计
像这该死雾霾下昏暗的鬼天气,雾霾
先暂时忘记 让我来加湿空气全新的粘稠主义,加湿
先放松你的身体,放松
准备双脚踮起 音乐会冲散你脸上的粉底,踮起
你是否记得请 哪一首打到你心底,打到
我喜欢知书达理 所以别怕,知书达理
我又不是什么出名饶舌歌手 所以别骂,饶舌歌
来到这里 又遇见全新的蓝色调味主义,调味
他仿佛出现过在你梦里,出现
值得庆幸 我们可以把他及时提取,庆幸
再加点维他命 存进你的播放器 ×2,存进
又是多愁的季节 藏有几分伤感,伤感
或是消逝的时间 带走几分温暖,消逝
你看清了更多 快乐并没增多 相反,看清
那个心里的精神之国 慢慢坠落,坠落
那一刻 天灾抵不过人祸,抵不过
安慰了困惑但需要冷静的解脱,解脱
chill 还是chill一下
包里的风筝叫Marijuana,风筝
躺在空气的面包床上吧,面包
带你看星空 他有多美妙,星空
抓不住行踪 这些书上没写到,没写
交给你暗号 像绝命毒师做实验,毒师
这项科学 可以带你去看全世界,带你去
这感觉 好像高空慢飞行,高空
不由赞叹这真是一副好风景,赞叹
不明的物体都在对你眨眼睛,不明
地球安静的睡了 闪着蓝色的光晕,光晕
你要去哪里 就在不久已经向她告别,告别
为什么离开之后 又会突然觉得亲切,离开
那抹不去的曾经 和忘不掉的脸,忘不掉
那些扰乱你的思绪翻来覆去的夜,思绪
多怀念 那些陪你渐渐长大的画面,怀念
一起放学的马路边 我们夕阳下的脸,马路边
多希望那渐渐 增多的污点,污点
都消失不见 都消失不见 都消失不见,消失
来到这里 又遇见全新的蓝色调味主义,调味
他仿佛出现过在你梦里,出现
值得庆幸 我们可以把他及时提取,庆幸
再加点维他命 存进你的播放器 ×2,存进
那么多人都在冷眼看着你,看着
我独自的坐上了北京火车,坐上
希望在哪天我突然的火了,希望
硬座上坐着 心眼变多了,硬座
冷眼的对待我成为了过客,过客
A 年少轻狂懂了礼貌,年少
行尸走肉忘了今天到底几号,行尸走肉
慢慢的开始找自己,开始
发现了房间的纸和笔,房间
一个人在发神经 歌也没人听
每天时间想着他们如何入人心,人心
有些人太信命 而我活的太过即兴,信命
让别人听懂我的故事太难,听懂
用时间和心血把欠的 债还,心血
情人被拆散 想法被看穿,看穿
好多的想法到明年在谈,想法
希望之火永远不会被熄灭,熄灭
成功之前的苦难便是我的一切,便是
二十三岁的人生里,人生
没有学会什么叫做怎么收敛,收敛
有些人对成功的定义是money,定义
但我一直都是在坚持着自己,坚持
当然了money and new money
都被我收进了口袋里 man,收进
总有人问队长你为什么那么的棒,队长
这是我坚持了十年对自己最好的奖赏,奖赏
不会像一些人,不会
脑袋里不爽我但是嘴巴里又不敢讲,嘴巴
那么多人都在冷眼看你,眼看
还在蜕变 从没埋冤,埋冤
解开枷锁这种感觉让我孜孜不倦,枷锁
从不敷衍 为音乐出钱 成为日向雏田,雏田
想早点出现 成为圈内突变,圈内
也只有老天能控制住我的命脉,命脉
也想成为别人偶像别人那么挚爱,挚爱
每种阶段不同也许是受到了驱使,驱使
德高望重的老人一直活在了昔日,活在
才华被斩断像是没有墨汁的 圆珠笔,圆珠笔
他的家人也许是哪个市的 前书记,家人
而你不是金子还想着大家 全输你,全输
自己欠自己 自己找刺激,刺激
希望哪天我也能够走到街上,希望
hiphop的传承由我接棒,接棒
希望大家都说占我光,希望
士兵不想待在家里那怕浑身带着伤,浑身
那么多人都在冷眼看着你,看着
那么多人都在冷眼看着你,看着
made in china的冠军,冠军
made in china别挑衅,挑衅
made in china的货
made in china多know know
made in china的trap
made in china 的higher
made in china 的帅
闹钟把你叫醒made in china,闹钟
牙膏牙刷上面挤made in china,牙刷
把早餐放进陶瓷碗made in china,放进
擦唇膏出门打起伞made in china,打起
坐到公司里wu 旋转办公椅wu,办公椅
360熟悉的印记wu,印记
钢笔画了一朵莲花cookin需要放点盐巴,钢笔画
相框里面框住全家 全部made in china,框住
made in china的冠军,冠军
made in china别挑衅,挑衅
made in china的货
老百姓用得开心,开心
搞清楚一个问题,问题
去想象如何来面对自己,想象
我晓得我努力心头有底,晓得
投币机投下了一枚硬币,投币
当我的双腿都接了地气,地气
完美的降落到 CD to city,降落
24宽敞都不显得挤,显得
漂亮的女孩 u dig,女孩
音量调到33度,音量
搭配香槟把人喝的微醉,微醉
又有了好多蓝精灵,蓝精灵
都跟到后面尾随,跟到
回到天府参加家乡派对,派对
或许有缘就再会,有缘
我不正经的告诉你,告诉
走了来了来了走
飞机起飞后 万米高空中,起飞
反而能变得轻松 yeah,变得
声音要传遍 每一个角落,传遍
背起背包行动 yeah,背包
故事的情节才刚刚到精彩地方,精彩
仿佛在昨天才白手起家
今天就睡在了香格里拉,睡在
很多事在改变 aye,改变
包括你对我的看法,看法
我不是 superman
当遇到坏蛋还是可以马上披上战甲,战甲
慢慢的 慢慢的 实现吹过的牛逼,实现
一直到最廉价的是 money,廉价
Hey 海贼王走遍世界,海贼王
快看我不断上升的赏金,赏金
很快来找你 my bae
才不管阻挡是谁,阻挡
当汽车行驶在路上,行驶
我知道这这是 my city,知道
城市的倒影也照射进了杯里,倒影
纸醉金迷不会埋葬掉回忆,纸醉金迷
一切都淹没在夜景,夜景
欢迎来到 A.T.M.的 TV,欢迎
我从远方一直来到这里,来到
我的精力永远不会疲惫,精力
除非有天我会变成废品,废品
让我血液不断保持低温,低温
然后再把烈酒装进我的胃里,烈酒
刻意穿上我准备的西装,西装
现在就让这首歌来成为我的背景,首歌
舞台上的低音穿透我的神经,低音
脖子上的链子必须换成纯金,纯金
我的父母已经不再怀疑我的能力,怀疑
我们每日每夜努力换来更多人民币,换来
麻烦跟到这个步调 okay,步调
妹儿从来不靠 勾兑,勾兑
和我哥们儿到处消费,哥们儿
所以我必须要做到的事情,做到
是切实现我曾经装过的逼,装过
付出了实际的行动后,付出
得到了回报我从来不纸上谈兵,纸上谈兵
如果你发现我热情似火,热情
就没人能把我温度降低,温度
我和我哥们儿些唯一的特点,哥们儿
是非常的优秀也非常年轻
为了妈妈放心 能够 争气,争气
白天就开香槟 请你 相信,香槟
以后的我任何人都无法TM推下,推下
比钻石还闪耀 C A P P E R,闪耀
吃的饼干里面有种类型叫做威化,威化
最近得了感冒 C A P P E R,感冒
但不影响我要做的事情就是黑怕,事情
MOTHxRFxCKIN DxPE 不喝你的洋酒,洋酒
听清楚 她是我的良友,良友
感到差距后 发现我很抢手,抢手
没办法 可以做到长久,做到
嘟 嘟 嘟 嘟 家门口的瀑布,瀑布
兄弟跟我走起然后一起打个哈气,跟我走
酷 酷 酷 酷 200码的速度,速度
携带好了妞 等到晚上参加爬梯,爬梯
快看小猪佩奇 不用pay me,小猪
吃 炸 鸡 当然选择脆皮,选择
熟练你的位移 前后对其,位移
滑滑梯 等你跟我汇集,滑梯
是你的开心果 一起去上厕所,开心果
万分之一的自己
自由漫步在这个世纪,漫步
开心不开心聚集,开心
生活每天都是个奇迹,奇迹
那就请你开心点,开心
静脉注射强心剂,强心剂
我有我独特的吸音面,吸音
他们称作相信力,称作
又是新的一天新的生活,生活
继续让我犯着新的错,继续
这是普通人的小小梦想,普通人
都是every们的过
每个市民都如我,市民
verse花生,花生
不再傻的直流鼻涕,鼻涕
现在他们说我太危险,危险
universe所有氛子聚集,氛子
抛开所有鄙夷,抛开
不再给你扮鬼脸,扮鬼脸
宇宙最微小的微生物,宇宙
变成新时代的催生素,催生
质子没绷住,绷住
宇宙爆炸产生新大陆,宇宙
调配着flow和back up 产生大气层,调配
搅拌臭氧后期导出太阳能,臭氧
词和扎实地基哪怕要七年,地基
直至形成无法打碎的基岩,打碎
地表上面开出不寻常的路,开出
直至毁灭,毁灭
字典里都没有不,字典
一直不停创造What you want to do,创造
请你不要记错我所在的hood,记错
律动 透过你的身体就像高压电,律动
默默 奋斗才会使你们看不见,奋斗
玻璃杯都特别干净 woo,玻璃杯
醒来处理一下八百留言 uh,留言
life so great 每天就像开采油田,油田
我看着他们 ei 狂涨价位,狂涨
乖乖向钱看齐乖乖纳税,向钱看
睡不够的废柴就像纳粹 ei,废柴
我是超能少年 kill em thats ma way,超能
歌不会憔悴 不用它消费,不用
作为精神药水 破事全都告退,破事
所有你的规则被我变简单,规则
当我跳进人群中,跳进
上下 上下
耳朵里的英雄,英雄
脱下校服参加party,校服
这是jetschool没有别的路,没有
先别告诉你的妈咪,妈咪
同学birthday今晚在他家里住,同学
语文作业没写完,没写
放在一边先别管,放在
音乐让人特别懒,音乐
干杯 ok it's partytime,干杯
我从深圳上海西安到北京,西安
忙着制造开心又唱到天明,开心
all right 跳进我的陷阱allnight,跳进
全世界来个环游tour,全世界
比游戏好玩的多,好玩
把书包先丢了 周五放学让我们嗨个够,书包
你属那种于害羞的 那先看我让我来带个头,个头
做个全班最酷的没带试卷从来都不找同学借,全班
我不是个带路的你想学我还是先完成学业,带路
我是个游子往全中国飞行但偶尔也会想家,游子
oh但是我乐观我把每场演出都当成了课外实践,课外
感谢音乐带给我的一切陪我度过了每个日夜,带给
当我跳进人群中,跳进
上下 上下
耳朵里的英雄,英雄
像爆发的火山,火山
但不会伤害伙伴,伙伴
不管游的多慢
总会掀起波澜,总会
不管cyber jelly是否有人听,是否
我都专心写歌从来不分心,写歌
按下不归路的门铃,门铃
也会欣赏沿途的风景,风景
毕竟我无可代替,无可
天才也特别卖力,卖力
其他你不必在意,在意
如果跟着节奏跳动我会特别感动先鞠躬再说 谢谢,鞠躬
地上地下游走带着hiphop logo 尺度刚好从不越界,越界
我的功能全方位带反弹你想了解随时奉陪,反弹
跟着年轻的血液 ru readdy 耶耶,耶耶
当我跳进人群中,跳进
上下 上下
耳朵里的英雄,英雄
《坏孩子》,坏孩子
校园rapstar放学时间九点半,放学
学霸或学渣对我的评价有点乱,学霸
独行侠不拉帮结派因为金子总会发光,独行侠
更不担心雪上加霜,担心
所以我发新歌从不求点赞,发新
只有体育能够拿满分证明我轻功行,体育
我不需要谁去管态度早就在我心中明,态度
他们说我像是着了魔般开始改变自己重心,像是
像是魔鬼突破封印,封印
说我太弱 但我毕业开着游艇,游艇
我一直在做 年轻rapper们的首领,首领
要穿白鞋那我就买AF1,白鞋
体育课她们趴着玻璃看,体育课
我俯卧撑到底他们做一半,俯卧撑
试卷就是伴奏,试卷
未来被我看透,看透
背的滚瓜烂熟
飞的慢
fans被我赚够,赚够
十七岁 比同龄人要成熟两倍,同龄人
敬 every body 每个人不同的味
I'm最坏的同时也是最棒的
I'm最坏的同时也是最棒的
I'm最坏的同时也是最棒的
I'm最坏的叫我最棒的
不靠我父母 填饱了肚子,填饱
名牌从头买到shoes,名牌
太多人看扁我 当我是个野路子,看扁
攻击我都接住了,接住
我知道身边太多笑脸盼着我的结束,笑脸
那就看看来自街上的孩子怎么住进别墅 wow,别墅
必须功成名就 理哈我的领口,领口
最原始的欲望化作力量在我心头,化作
你问我应该咋个办,应该
我说先再赚五百万
金银财宝往身上穿,金银财宝
钻石往牙齿高头安,高头
越是深沈的人表达越是肤浅是为了让人容易听懂,听懂
越是肤浅的人越爱装深沈他想让以为他懂
你看我表达单纯 想更出名不当一般人,出名
我从几百人唱到千人 再从千人唱到万人,唱到
上进心让我不能安分 我的血液像开水在翻腾,上进心
只有名利双收才能让我觉得活到不算太残忍,不算
如果我有一天啥子都不得咯,不得
至少我要有名和钱拿给我去挥霍,拿给
早看透花花世界 香槟代替眼泪在嘴角,花花世界
为了想拒绝的画面绝不配合,画面
必须功成名就 理哈我的领口,领口
最原始的欲望化作力量在我心头,化作
除了挣钱其他时候都在花,挣钱
我和Ty. 从成都到台北 pull up on the block,台北
我们胃口很大几千几百万都装的下,胃口
在上海遇到个妹子,妹子
我记不住她的face 我冷酷像我的ice,记不住
必须功成名就 票买完了停售,停售
年轻是我bankroll 才华是我bankroll,才华
和我跳个tango 踩着我的lambo
爱上我是玩火 失去我会难过,玩火
必须功成名就 理哈我的领口,领口
最原始的欲望化作力量在我心头,化作
Baby 不急 你真的Bad and bouje
想给你买个Gucci 飞回乌鲁木齐,乌鲁木齐
Baby 放松呼吸 爱上一个UG,放松
给你买个Gucci 一起飞回乌鲁木齐,乌鲁木齐
Oh my Baby 你是那么美
我不像那些哥们儿他们都在吹,哥们儿
想跟你Hustle everyday 一起醒来一起睡,醒来
big boody bueaty在我旁边休息 电话响起honey its me,响起
我说“Ah u wanna with me？”这次的行程特别的低调,低调
你我的被窝里可能太黑 baby 每次都不小心咬到,被窝
带你去红山再看一场CBA wow 你在喊新疆队老道,带你去
问题是路上有女孩儿在瞪你 从头到脚再从左到右,女孩儿
有我就不会有困意 放松allnight 明晚照旧,放松
你真的很少会生气 你不懂爱情但你很懂事儿,爱情
虽然我脾气爆说话带刺儿 但你说还是想留在我这儿,带刺儿
baby i know 你我的照片 散布在微博,散布
baby i know 流言和蜚语 今晚的飞机,蜚语
陪你珍藏着回忆 baby 给你穿我的卫衣 陪我回去,卫衣
Baby 不急 你真的Bad and bouje
想给你买个Gucci 飞回乌鲁木齐,乌鲁木齐
Baby 放松呼吸 爱上一个UG,放松
给你买个Gucci 一起飞回乌鲁木齐,乌鲁木齐
Oh my Baby 你是那么美
我不像那些哥们儿他们都在吹,哥们儿
想跟你Hustle everyday 一起醒来一起睡,醒来
ya 你看我的眼神都不太对baby,眼神
ya 想问你旁边的古董是谁baby,古董
ya 希望我根本就没猜对baby,希望
只想跟你暧昧baby 今晚别太快睡baby
这里有大怀抱 604是我的门牌号,门牌号
需要的一起去买好 Prada LV的外套,买好
带你去乌鲁木齐 晚上接招 迁来户籍 再买个切糕,切糕
送你个真Gucci 没关系是我的见面礼 baby
你说你对我的了解比脏街的小姐和酒吧的姑娘更多,脏街
怪不得你像本十万个为什么那么多奇怪的问题问我,奇怪
帅到Isabella都想过来找我问货,问货
OH~Se orita 我要解开你的密码,解开
没关系跟我回家 我问过我的妈妈,妈妈
OH~Se orita 先不用急着回答,不用
说不定我会变卦 每天挂你电话,变卦
Baby 不急 你真的Bad and bouje
想给你买个Gucci 飞回乌鲁木齐,乌鲁木齐
Baby 放松呼吸 爱上一个UG,放松
给你买个Gucci 一起飞回乌鲁木齐,乌鲁木齐
Oh my Baby 你是那么美
我不像那些哥们儿他们都在吹,哥们儿
想跟你Hustle everyday 一起醒来一起睡,醒来
beat by 老道,老道
有点晕 有点呛 我的心 变得烫,有点
我的音 浪太壮 但从不高高在上
别叫我亲爱的胖 b u just feeling this song
那就再等一等 忍一忍 稳一稳
为了 兄弟们 兄弟们 兄弟们,兄弟
那就再等一等 忍一忍 稳一稳
为了 兄弟们 兄弟们 兄弟们,兄弟
要知行合一 不想去争名夺利,不想
我和我的伙计 一直保持着火力 U See,伙计
我不拢缺的边 不懂你的缺
此处不留爷 别处混出爷自己的天,混出
只羡自由不羡仙 必须要潇洒人世间,不羡
青烟环绕我文字间 早就超越你层次 yeah,青烟
让我一直超越 超越过终点,超越
成败 得失 都要冒风险,冒风险
大风大浪 也从不紧张
想要扶摇直上 给自己充电,充电
人和人才能产生影响,人才
任何人都有机会领奖,领奖
书本里所蕴藏的营养,书本
让你不停 想要搞出一番名堂,名堂
在流着汗的兄弟 在咬着牙的兄弟,兄弟
我街上的兄弟 还在点着烟的兄弟,兄弟
甚至打过架的兄弟 被指着骂的兄弟,打过架
要保护我的兄弟 为你绝不保持中立 Bro,保持中立
没时间陪honey逛街 baby我要录新唱片,新唱片
从地下一飞冲上天 ay ay ay
就算我抽中上上签 也不能全指望上天,指望
成功得靠自己创编 way way way up,创编
我的队 绝对会 是最到位的配备,到位
谁接我的位 谁是我的妹
谁和谁会 让假装高贵的退位,退位
一个巴掌拍 拍不响 成群结党,成群结党
不管聚或散 和兄弟逐个击掌,击掌
到处飞 高铁或机场,高铁
什么风流倜傥都不如男子汉的气场,气场
哥们淡泊名利 但是也活的像样,淡泊名利
Fly high till i die 天天向上
别一瓶不满 还在那半瓶晃荡,晃荡
天生野孩子王 要干掉王侯将相,野孩子
所以肩上的担子 一起扛,担子
兄弟们上来 帮你忙,兄弟
做给想听的兄弟,想听
奖金和尊敬全拿到我们再一起狂,尊敬
所以肩上的担子一起扛,担子
兄弟们上来 帮你忙,兄弟
做给想听的兄弟,想听
奖金和尊敬全拿到我们再一起狂,尊敬
在流着汗的兄弟 在咬着牙的兄弟,兄弟
我街上的兄弟 还在点着烟的兄弟,兄弟
甚至打过架的兄弟 被指着骂的兄弟,打过架
要保护我的兄弟 为你绝不保持中立 Bro,保持中立
RUNNING 木栅 GETTING BLUE PAPER,木栅
车里载的代表三峡伙伴,三峡
其他的人说了什么干什么我看
快点摇下窗户 点头装酷,装酷
喇叭开到最大让他们知道是谁来光顾,光顾
巡回不计天数 我感谢天父,天父
低于限速的二手车 轮框依然电镀,轮框
订阅我的PAGE 不凑巧只关注,订阅
那些COPY CAT爱装成乡民比酸度,装成
VIDEO太FAKE 一堆臭小子充数,臭小子
我们的派对 我二十四个小时加入,派对
尊敬我的前辈不管搭几次BEAT,前辈
庆功的香槟又忘了开几支去,庆功
YEAH WE PARTY SO HARD 你待在家里视讯,视讯
我项链99K管你押几次韵,项链
超爽的开著二手车 听著饶舌歌 口音老乡土,超爽
来自南方的台客 素T穿白色,台客
SOUTHSIDE SOUTHSIDE 台北台北KIDS,台北
自己赚的我爽就花 奢华的都市 简单过生活,都市
从松山开始走跳来到木栅 早就赚到第一台二手车,从松山
比出手势打招呼 我们点头,打招呼
HOLLA AT ME 不在乎是否眼熟,是否
台北以南的城市 四处走跳,台北
HUSTLE EVERYDAY 管谁跟我有熟
我赚来的钱根本不需缴车贷 没在背债 钞票塞裤带 自己承担好坏,背债
想陷害我 见怪不怪 但现在 我的时代 妹仔知道该要选谁现在,妹仔
BABY IN MY CAR 车厢还有球棒,球棒
别随意按喇叭 冲刺看谁车子壮,冲刺
习惯溜搭 开著车在街上晃,开著
在道路上飘荡 跟我兄弟漂浪,飘荡
超爽的开著二手车 听著饶舌歌 口音老乡土,超爽
来自南方的台客 素T穿白色,台客
SOUTHSIDE SOUTHSIDE 台北台北KIDS,台北
白袜配拖鞋 老乡中的FASHION,白袜
关键 车身都降低 然后撑著我的低音快当机,撑著
要当心 前面照相机  超速被拍的时候我还在车上吃炸鸡,炸鸡
买东西不喜欢下车,下车
他们知道我写得生活不是假的,生活
认识我的人才知道品味跟价格,品味
我开的车是九零红色五门的雅哥,雅哥
四处乱晃开车 让妹们都爱著,妹们
南方老乡的PARTY让她们觉得太扯,老乡
就爱泡钮改车 再把兄弟载著,泡钮
代表南方的老乡我就是来自木栅的台客,台客
超爽的开著二手车 听著饶舌歌 口音老乡土,超爽
来自南方的台客 素T穿白色,台客
SOUTHSIDE SOUTHSIDE 台北台北KIDS,台北
@ 好威龙音乐工作室 How We Roll Music Studio,工作室
从2015的Hood Chill年
直到今天见我爱着的嘻哈,直到
终于从没有人听它 冲出了天方 载入了篇章,天方
没有人会再说我们是妖魔鬼怪,人会
更多人买票来我们的live,买票
不懂的人全被留在了场外,留在
不会再有人说说唱是喊麦,说唱
都 爱 爱 爱 爱 Love my style
1 2 1 2 妄图挡住我的脚步,妄图
滩涂 坦途 但不和你一个道路,坦途
亡命之徒长着反骨,反骨
Gangsta的谈吐 往你的耳朵刺上了我的Tattoo,刺上
我从坟墓里爬起take a Deep Breath,坟墓
Hip-Hop大旗现在轮到我来抬着,轮到
我从不被看好 到有人说我像蛋堡,蛋堡
real forever 我的歌也不用华丽撰稿,撰稿
思想靠倡导 在你精神层面乱搞,乱搞
三餐就算吃半饱 韵脚也roll上大脑,韵脚
很难叫我认输,认输
一路走来事半功倍的效果渗出,渗出
读四书 再翻五经至日出,四书
有homie自远方来确实不易乐乎
管我笔要怎下
你也拿我没办法,办法
现在锤子都能红,锤子
一句freestyle
搞得像是没用这句就没有跟风,跟风
如果躲起争 躲起论 街上遇到 算你倒霉,躲起
Like NinJa 我不用电话,不用
你不需要知道我在哪,需要
只要想到我跟著唱,跟著
嘻哈灵魂 天地长存,长存
不致灭亡 反得永生,灭亡
在这个疯狂的时代太多人都在期待,期待
下个弥赛亚 能够 再来,能够
我背起天杀的十字架,十字架
就算两肋会被刀叉也不走 凡人的路,刀叉
我要成为神话,神话
音响开始音量加倍全部都来听我orange vocal,音量
掌声响起观众开心 因为是我solo,掌声
用实力证明vocal,实力
我不怕累不累 不管废不废 不管配不配 不怕,累不累
黑不黑 keep you fucking real
如果要自由种植那我就是根motha fxxka,种植
一旦入侵耳朵影响力等同于 本·拉登 Dab,影响力
千里马是什么称赞,千里马
抽空随手敲个beatz就足以丢给团队做cypher,抽空
不屑当Producer,不屑
都怪我十项全能
得到不仅只是Money 隔断不仅只是差距 喝光不仅只是Le Pin Pin Pin.chigga,喝光
一个字头的公司 自由种植,字头
以自由为宗旨 黑白通吃,宗旨
钻个空子,空子
右手握笔左手握mic 双刃金箍的攻势,双刃
他们叫我疯子,疯子
当我 popin bottle shot boom 不受控制的忙活,控制
打拼 hustle 别怕痛 完成统治,打拼
你觉得讽刺,讽刺
Rapainta是个例子始于祖上府邸闽江斜岸的棚子,斜岸
想要好货应该了解怎么得,想要
就这么dirty
we drinked purple才缓过神我接着喝
转过头来homie全部还在咳,转过
是不是被我搞得够气
不会被皮毛算计,算计
你摸不透我的用意,用意
让你们立正稍息,稍息
要用什么样的文字记录这坐城市的名字,记录
你也知道自由种植培育出来精品的种子,精品
正在这里生根发芽壮大,生根
根深蒂固种植在你内心深处,种植
我们正在chiling吞云吐雾
歌词的深度 直击你们内心深处,直击
在ghetto hutsle
别忘记回家的路,别忘记
当我开口嘴里爆出新的花样,爆出
把你们带的墨 镜都擦亮,擦亮
我亲自夸耀 你听着像,夸耀
品尝着冰的虾酱 在心里发酵,虾酱
就这样行云流水彪着单音节,单音节
让你们收起课本专心学,课本
别再谈论穿金戴银忙着换新鞋,穿金戴银
或是留恋哪个夜店泡着潘金莲,潘金莲
如今从唱着爵士 到放着厥词,爵士
抱歉我又 忘了节制,抱歉
回归本色如同那倔 强的蝎子,蝎子
把那带刺的话留在屏幕 上的贴士,贴士
保持着低调同样选择不默认,默认
也许是因为脑中词汇量过剩,词汇量
不知何时患上押着韵的强迫症,强迫症
你问这症状 就是按耐不住的咬字,咬字
由肾上 腺素分泌过多所导致,腺素
这更像 是标志性的风格给你一点,标志性
震荡 bring ‘em on and on and on,震荡
怀揣着肚里的墨水 晒着 技艺,怀揣
定义帅的 意义 flow开天 辟地,开天
依旧态度 犀利 歌词还是 利器,利器
你的盖世 英雄被我率先 击毙,击毙
听这声音来自共和国的老学校,共和国
还在跟着我的咬文嚼字找诀窍,诀窍
基本全部时间都被音乐占据,音乐
从不延误时间经典押韵三句,押韵
看我抛出金币 空中缓慢翻转,翻转
同时抽出雪茄 记者拿出单反,雪茄
时代周刊或是本土头版咔咔,时代周刊
用完早点助理把我油嘴擦擦,油嘴
A轮上市融资成功再等B轮发发,A轮
舞池里面搂个黑妞一起跳个恰恰,舞池
对赚钱上了瘾 像是得了病,赚钱
病情恶化一秒都不能停看我恍惚神情,停看
医好我只有包着支票的信,医好
拼命的拼 再把身体练硬,拼命
头脑保持清醒在循序渐进,头脑
绝不偏心让你先听和我的尖兵,尖兵
凌晨出发 起身从不含蓄,含蓄
夜晚潜伏当你还在着韩剧,潜伏
心灵歌唱 解救如今都市男女,都市男女
管你哪条草蛇在把市场盘踞,草蛇
表里如一我们当然台前幕后,台前幕后
我的power来自hater的诅咒,诅咒
听这声音来自共和国的老学校,共和国
还在跟着我的咬文嚼字找诀窍,诀窍
哎 快点吧 都 快点吧
龟兔赛跑中的乌龟跑 快点吧,赛跑
可口可乐味的香草配 爆米花,爆米花
新版魔岩三杰带你到 冒险吧,魔岩
藏着什么奥谜 我也不知道,知道
九十九的CoCo见水变火药,火药
懒人戴的钻石珠宝瞬间变手铐,懒人
理想中的上帝我来给你亲手造,上帝
你们模仿不到,模仿
这精髓的重心在思想的觉悟,精髓
我不抽也High now
新疆到上海,新疆
这老派到新派的融合,老派
把充数的pa pa pass out,充数
Running 一刻不停歇加足马力running,加足马力
五位数的演出让 妈妈放心,五位数
不靠三俗歌词一样把你震惊,不靠
经历岁月打磨闪着光的圣经,打磨
是我所编所写,编所
所有所见所闻 所罗门到熊野,熊野
索性锁定合成 让你明白深浅,索性
