lyric,topic
搞撒 搞撒,耍帅
我给屋里存钱 你专门帮屋里花钱,耍帅
我在舞台出现 你在酒吧里面舞池出现,耍帅
演完我留下笑脸 你为失恋在家里哭脸,耍帅
我的进步全靠作品凸显,耍帅
而你态度特别敷衍,耍帅
所以这就是为什么我站前面你站后面,耍帅
房贷快要清了我看楼盘不看gold chian,耍帅
我要搞事所以你的电话我刚好没空接,耍帅
眼光在终点不像你在乎手机有没充电,耍帅
莫伴式样莫出宝,耍帅
搞撒 搞撒,耍帅
走得起不一定就是关系户,耍帅
升级的旅程必须探探新路,耍帅
对实力保持尊敬对老油条抵触,耍帅
我开车加冲刺你看你又能走几步,耍帅
我出来的光明正大不懂皮怎么下,耍帅
我把名声打好你接着放好你的话,耍帅
意别收了一束花话你蛮好讨了一顿骂,耍帅
你活着一般尬,耍帅
我练的必杀必然炸,耍帅
我集着元气弹看太多人在举着手,耍帅
前面的风再大雨在下我照样顶着走,耍帅
拿作品说话别再调子高了你抓弱的嗅,耍帅
你看清楚自己后半生到底怎么篓,耍帅
我集着元气弹看太多人在举着手,耍帅
前面的风再大雨在下我照样顶着走,耍帅
拿作品说话别再调子高了你抓弱的嗅,耍帅
你看清楚自己后半生到底怎么篓,耍帅
伴式样你莫出宝,耍帅
伴式样你莫出宝,耍帅
搞撒 搞撒,耍帅
你怎么还在怪我,耍帅
我又没有什么错,耍帅
气氛尴尬都是你造成的,耍帅
你也说不出我有什么错,耍帅
反正没有时间跟你配合,耍帅
哎 你在变坏,爱情
把我手机放下 就是现在,爱情
不要耍赖 能不能再,爱情
多一点点信任 再来恋爱,爱情
你说我变态 但我只是对你,爱情
我的手机里也没有任何秘密,爱情
你不相信 你不相信,爱情
还说我脸上 有几滴汗,爱情
最后再吃一顿散伙饭,爱情
你是一只猫 热爱站在高处,爱情
总是毫不掩饰揭穿我的招数,爱情
你会让你自己变得臭名昭著,爱情
等你反应过来气的要剖腹,爱情
早信任我没有各种猜测,爱情
哪怕手机屏幕一直开着,爱情
你也要很乖的 卧在旁边呆着,爱情
我会奖励你荣华富贵,爱情
只要可以让我每晚安心入睡,爱情
你get到我心里最敏感的部位,爱情
你怎么还在怪我,爱情
我又没有什么错,爱情
我是说dont touch my phone,爱情
气氛尴尬都是你造成的,爱情
你也说不出我有什么错,爱情
反正没有时间跟你配合,爱情
就算我有玛莎拉蒂,爱情
也根本没心情拉你,爱情
你好奇心强的我想报警,爱情
所以根本不敢大意,爱情
手机不敢放在家里,爱情
我没看你手机 I never did,爱情
你说只是想引起我的注意,爱情
什么都要怀疑我 随时随地,爱情
说我说的鬼话没有人信,爱情
给我留下bad trip 和烂的回忆,爱情
还想要找我,爱情
抱歉一定是没戏,爱情
你说你一定改 不会看我手机,爱情
Ok showtime 我只想走点心 如果你还看不清 我就不再动脑筋I konw that,爱情
Now look up 我会彻底厌恶你 只要你还碰我手机 让我不能安心休息,爱情
我不在乎你 别问我问题,爱情
让你不停揣测我是不是还有小秘密,爱情
我是说dont touch my phone,爱情
气氛尴尬都是你造成的,爱情
你也说不出我有什么错,爱情
反正没有时间跟你配合,爱情
耶~,讨厌
劳白加啤酒才对我的味,讨厌
要搞起点事情来堵你的嘴,讨厌
在南边打名声云别随你们呸,讨厌
先满足了胃I don't care what u say,讨厌
为了制造更多的bounce,讨厌
为了活得更加的放肆,讨厌
算我的算我的反正都是看不惯我的,讨厌
谁又真的没烂过呢别后悔队又站错了,讨厌
我帮你说不敢说的你可以当个软货,讨厌
可以就只玩我玩过的是真的总会闪烁的,讨厌
我不想再躲藏了我的风格需要一点点的刺激,讨厌
当我开始玩着flow当flow开始更肆意,讨厌
我发誓要离开所有的保护变得自立,讨厌
怎么可能为了名利为了金钱忘了自己,讨厌
看他们更加势利的眼睛,讨厌
透着那点微光却在制造着血腥,讨厌
CSC的云别keep it rising 保持野心,讨厌
要干掉所有缺的泛滥成灾的三连音,讨厌
在我边上有的没的,讨厌
反正都是混着圈的早就扎成堆了,讨厌
反正根本就分不清什么丑的美的,讨厌
只要伴到位了怎么都是对的,讨厌
都在比谁过的惨,讨厌
为CSC打名声必须要让敌人丧了胆,讨厌
一条野路走到黑,讨厌
那点梗玩够了没,讨厌
随你是谁 谁家的谁,讨厌
云别的味你学不会,讨厌
先来点,讨厌
劳白加啤酒才对我的味,讨厌
要搞起点事情来堵你的嘴,讨厌
在南边打名声云别随你们呸,讨厌
先满足了胃I don't care what u say,讨厌
为了制造更多的bounce,讨厌
为了活得更加的放肆,讨厌
用手机make a movie,耍帅
靠我们make a movie,耍帅
看你bounce bounce bounce bounce的 从南跳到北的,耍帅
陪我work work work work的从白天到黑的,耍帅
Let me skirt skirt skirt skirt的滑过每个弯道,耍帅
put in word word word word的全部都会做到,耍帅
让开,耍帅
老子们没有配刹车小心遭撞跩,耍帅
我们都还没摊牌,耍帅
游戏肯定慢慢来,耍帅
你不想和气生财那肯定遭踩,耍帅
如果那是在跳水我们就是在跳海,耍帅
Gosh全都在这儿,耍帅
都不需要等一哈儿,耍帅
你兄弟会跟你作伴儿,耍帅
可爱的像是一副画儿,耍帅
I got 金手指,耍帅
注定名垂千秋史,耍帅
认准我们新手势,耍帅
点一份鸡块 不停的不停的work,耍帅
其实也没差 电话不回她,耍帅
这样好吗 今晚不回家,耍帅
我和鱼在嬉戏 它在教我吸气,耍帅
拿下每块地皮 Gosh过来布局,耍帅
喝酒又伤胃 抽烟又伤肺,耍帅
夫妇成双对 GOSH turn up on my way,耍帅
Its my turn不得放水儿,耍帅
兄弟们都 拿得死范儿,耍帅
现场的妞儿 用力的twerk,耍帅
现在几点 她们不care,耍帅
GOSH那是我的squad,耍帅
礼拜天we make it skirt,耍帅
road trip大理山水画,耍帅
过来我们一人送你把牙刷,耍帅
我们是力娃最后shout out to力拔,耍帅
我的手滑就把它弄洒,耍帅
他和她哩故事斗像一阵龙卷风,耍帅
抬起 头来 看一哈 自身在暴风中,耍帅
他还不得跑 看 他还不得跑,耍帅
听到听到听风在变小,耍帅
永力在山崖上轰炸,耍帅
敢问你山下,耍帅
想如何招架,耍帅
让我再想哈 让我在想哈,耍帅
让我耍疯狂哩扫把,耍帅
wanna 代佬虎 偷袭 代佬虎,耍帅
我哩代佬虎,耍帅
天棒的天棒的天棒的棒,耍帅
腾云又驾雾是天上的将,耍帅
GOSH要掀起来千层的浪,耍帅
都莫来再问我哪个会变更火,耍帅
兄弟伙姊妹伙Are you OK?,耍帅
站到起稳住脚看到你很入魔,耍帅
Aka 狠部落 Gosh Music,耍帅
心头是大计划放松去大理耍,耍帅
和太阳打一架 力惨,耍帅
努力把懒磨掉让它不敢落教,耍帅
就不会感觉到 疲软,耍帅
舞台上大摇大摆,耍帅
目的是纵横四海,耍帅
我们的气势如虹,耍帅
重庆城卧虎藏龙,耍帅
魑魅魍魉都很平常了 girl,耍帅
带你看看那些寻常的 soul,耍帅
拿掉那些儿女情长之后,回忆
还会有多少梦在后头,回忆
and follow她的路的下一步,回忆
剩多少故事能讲述,回忆
她父母亲在读数,回忆
而她却徒步在灯火阑珊处,回忆
可并不清楚下一幕,回忆
深夜她无法入眠 在路边 在床前 曾困扰数年,回忆
而生活开始逐渐 浮现改变 展现事物的另一面,回忆
可是她竟不见当初的迷恋 仿佛很疲倦,回忆
一点 一点 愈发遥远 愈发遥远 愈发遥远,回忆
世上哪有人能真的遗忘 闭上眼还是一样 回到那地方,回忆
可期望早不在席上 独自饮离觞 竟难以抵挡 迷茫,迷茫
人生的路 从纯真到成熟 纹身的纹路 在提醒,迷茫
自己记住 当乌云密布 随初心觅路自会有庇护,迷茫
莫去念那功名利禄 莫要去羡慕自会有领悟,迷茫
去见那不同的景物 出笼展翅,迷茫
你不要停住 不要停住 不要停住,迷茫
成人世界狩猎范畴,迷茫
已忘了走了多久,迷茫
灰色地带手握自由,迷茫
仍在情节里摸索,迷茫
被迷惑的人可曾失控,迷茫
在是非倒影之中,迷茫
监听着潮汐涌动,迷茫
无人问津的身后,迷茫
成人世界狩猎范畴,迷茫
已忘了走了多久,迷茫
灰色地带手握自由,迷茫
仍在情节里摸索,迷茫
沉默不想言不由衷,迷茫
在是非倒影之中,迷茫
监听着潮汐涌动,迷茫
穿过这夜色深重,迷茫
没有啊没有啊 what u talking about？,讨厌
没有啊 没有啊 没有啊 他说没有啊,讨厌
网红照片看了个遍 what？,讨厌
觉得她们好看私聊加个微信 估计他们都没有看见 哈哈,讨厌
哈哈,讨厌
没有啊 没有啊 没有啊 他说没有啊 x2,讨厌
我知道有很多的事情我都想不通,讨厌
有时候太过清醒的时候连梦都痛,讨厌
我只能走一步再看一步,讨厌
每一步都很孤独,讨厌
大不了我就绕点路,讨厌
不就是把青春拿出来当赌注,讨厌
倾注我的全部,讨厌
怎样都不认输,讨厌
一无所有净身出户,讨厌
把目光放在当下,讨厌
在我的过去放一束花,讨厌
给照片买个框架,讨厌
再为我的将来布置住家,讨厌
也并不是个二代,讨厌
不知被何时贴的标签,讨厌
希望家里人都健在,讨厌
把钥匙挂在腰间,讨厌
有事没事都回家喝茶,讨厌
不在社交圈里挣扎,讨厌
当我受够了那些朋友,讨厌
高脚杯里装的红酒,讨厌
我从没在意过身份地位,讨厌
只明白不付出没有机会,讨厌
等到我不再迷茫 脱掉皮囊,讨厌
闭紧的双眼 出现在礼堂,讨厌
我也从没奢望太多,讨厌
学会了在人群中伸缩,讨厌
人生电影大段没播,讨厌
坦然的面对再去挣脱,讨厌
勉强不来,讨厌
就放手让他更精彩,讨厌
不用说他都能明白,讨厌
恰到好处 碰对的人,讨厌
机缘巧合 敲对了门,讨厌
对拥有的说一声感谢,讨厌
但从没停下脚步,讨厌
发誓要对得起那每夜,讨厌
不用再低落时去找路,讨厌
我记得拉住我的双手,讨厌
也记得滴过泪的窗口,讨厌
我经常去想象着未来有什么惊喜,讨厌
但它不听你 可乐亲启,讨厌
也不再想跟别人拼比,讨厌
只想去做好我自己把背包拎起,讨厌
踏上了选择的轨道,讨厌
证明着无法被轻易的毁掉,讨厌
执念被根深蒂固,讨厌
把过往也永远记住,讨厌
用现在帮过去闭幕,讨厌
很多的事想不通,迷茫
清醒时梦都会痛,迷茫
走一步 看一步,迷茫
每一步都很孤独,迷茫
每一步都当赌注,迷茫
倾注我的所有,迷茫
一无所有,迷茫
那天跟兄弟坐在车里,迷茫
聊天说这两年都好快,迷茫
以前不现实的玩笑,迷茫
没想到正在慢慢实现,迷茫
生活和品质逐渐上升,迷茫
不用和时间去做抗争,迷茫
庆幸着没有被欲望给冲昏头,迷茫
在凌晨的三点钟撰写手稿,迷茫
想得太多反而无济于事,迷茫
你选择所以要孤注一掷,迷茫
也早已经习惯了别人的看法,迷茫
只有把它做好 做到 更大,迷茫
用成绩来说明好让他们闭嘴,迷茫
喜欢的东西我自然会媲美,迷茫
就算是异类也好过大多数,迷茫
只会往上看也只会爬坡路,迷茫
我知道有很多的事情我都想不通,迷茫
有时候太过清醒的时候连梦都痛,迷茫
我只能走一步再看一步,迷茫
每一步都很孤独,迷茫
大不了我再绕点路,迷茫
不就是把青春拿出来当赌注,迷茫
倾注我的全部,迷茫
怎样都不认输 一无所有净身出户,迷茫
Hater 别生气 i rap like cocaine,坚持
从不会为了那些琐碎的事而沉寂,坚持
每天时间太紧凑 还要忙着做领袖,坚持
钱怎么赚都赚不够 Im Rap So dope,坚持
I m from anti-ravity 2017开始发力,坚持
从东北开始慢慢渗透进了全国各地,坚持
在这条道路上总有人想要抹几层黑,坚持
把他们全击败建立了自己的里程碑,坚持
我与Pussy还有hater无法相处,坚持
只有金钱才能让我全神贯注,坚持
钞票 揣进我兜里 准备买辆 Pagani,坚持
消极的人 我不搭理 别想着 来跟我攀比,坚持
有人盼我输  我不能失误,坚持
走在任何地方就是特别的酷,坚持
我和homie总是能够引起别人嫉妒,坚持
在背后千方百计想要把我打倒,坚持
可见了我的面却是对我满嘴讨好,坚持
请别总是在背后对我指指点点,坚持
欢迎当着我的面而不是遮遮掩掩,坚持
沈阳市场 我们开拓,坚持
这歌让你了解谁强谁弱,坚持
我的声波 进入耳膜,坚持
神经里细胞都被我捕获,坚持
Pussy全部都在想怎么靠近我,坚持
你也想得到这 一切需要拿命去拼,坚持
从没想过失败只是有着超大野心,坚持
抓住每次机会就趁现在画龙点睛,坚持
丹镇北京出品,坚持
Homie haters 好久不见,坚持
我不在的时间里我的部队也从未停止侵略,坚持
sucker Mcs太面了,坚持
street hustler接着骗吧,坚持
Krayzie Actor 将拿回本该属于我的一切,坚持
从来不掺烟叶,讨厌
我手里拿军刀嘴里有核弹,讨厌
没跟你商量这儿我说了算,讨厌
真刀 真枪 真干的 没几个,讨厌
你知道消息再多也没几克,讨厌
别在我面前演戏根本不及格,讨厌
谁又和谁在谁背后下套呢,讨厌
我话里带刀子少往我这儿靠,讨厌
准备尖叫 刀子出鞘,讨厌
放我的Ghetto狼们吃饱再Freestyle,讨厌
先别急着燥 它们还没到呢,讨厌
我就早挖好了陷阱等着你跳,讨厌
把我丹镇的旗帜插到每个地方,讨厌
让我们冲出地牢把敌人碾碎,讨厌
抢过了你的麦克让你成为点缀,讨厌
小绵羊快跑 虎豹豺狼发威,讨厌
让你振聋发聩 我的药效发挥,讨厌
就像是从天而降的超级炸弹,讨厌
让我成为你的神 或是你的撒旦,讨厌
掀起大战 给他们降临大难,讨厌
我身体流淌着猛兽的血,讨厌
喝几口烈酒 我更加的野,讨厌
代表我的阶级继续反抗 瓷,讨厌
我混在市井 地牢的士兵,讨厌
说唱的精英 别拿我当明星,讨厌
生人勿犯 下手我不轻,讨厌
就像是一场游戏,讨厌
不是比谁说的流利,讨厌
这地方孤魂野鬼游弋,讨厌
跟我分个高低又是何必,讨厌
aye 等着转世投胎得去找阎王,讨厌
想着下辈子发财小命延长,讨厌
新来的小鬼一帮接一帮,讨厌
准备尖叫 刀子出鞘,
放我的Ghetto狼们吃饱再Freestyle,
先别急着燥 它们还没到呢,
我就早挖好了陷阱等着你跳,
把我丹镇的旗帜插到每个地方,
让我们冲出地牢把敌人碾碎,
抢过了你的麦克让你成为点缀,
小绵羊快跑 虎豹豺狼发威,
让你振聋发聩 我的药效发挥,
就像是从天而降的超级炸弹,
让我成为你的神 或是你的撒旦,
掀起大战 给他们降临大难,
我身体流淌着猛兽的血,
喝几口烈酒 我更加的野,
我话里带刀子少往我这儿靠,
准备尖叫 刀子出鞘,
放我的Ghetto狼们吃饱再Freestyle,
先别急着燥 它们还没到呢,
我就早挖好了陷阱等着你跳,
把我丹镇的旗帜插到每个地方,
让我们冲出地牢把敌人碾碎,
跟我分个高低又是何必,
aye 等着转世投胎得去找阎王,
想着下辈子发财小命延长,
新来的小鬼一帮接一帮,
全都来报道 叫我典狱长,
看看谁是fake 不会 谁后退 不对,
真无 所谓 站队 从来不去 理会,
看看这地儿现在是谁在管,
我想的更大 好饭不怕晚,
咱们等级不同 你就像只蛀虫,
DUNGEON里的鬼全都在骑着恶龙,
度数加点儿绿的 让我离开了误区,
下了劲儿再续着 我们哪儿都不想去,
就在地下呆着 这不代表比你矮,
潮流钩子卖着 商业射的快,
快餐给你吃 枪手写着字,
点子叫你瓷 瓷们等你一块儿死,
保持你自己 不能当饭吃,
好话都让你给说了,
坏事儿就由我来干吧,
看不起 不是因为矫情还是搅局,
princess还是queen,
还是选择保持距离,
和我的baby搞事情,
和我的瓷们混在一起,
和我的精神分裂时期,
和我的失眠多梦 等待时机 有空再告诉你,
算的认真 盘道考证 路过的人们都并非再陌生,成功
我们的世界 我们的ocean 跑的再远你也到不了丹镇,成功
欢迎你来丹镇找我决斗,成功
动口或动手你自己选咯,成功
选哪种都让你输的惨wow,成功
光打扮 wu 装大款 wu,diss
自己打自己脸 自己抽自己嘴 自己说自己对 wu,diss
让你看看丹镇我们怎么玩儿的说唱,diss
我们抢了多少人的粉丝领地不断扩张,diss
因为你们原来的偶像就只会装模作样 Huh,diss
所有 该接的我都接了 你看我们歇么,diss
捏了被噎着的缺的,diss
我不求得的到的 我的药呢 救我 就这样,diss
都够呛了吧 朋友,diss
喝什么量 自己还不知道自己到底什么样,diss
火 烧了多久 还不复生,diss
是你们的刺激来持续战争,diss
接着旋转 旋律的玄幻 陷阱里的全算,diss
就是干,diss
属于 哪个街道 哪个街区,diss
从来没有一个受到保护的法律,diss
让音乐真的自由 放眼整个全球,diss
我们让它在北京停留,diss
干这些一定保持谨慎,diss
问题可以发泄但是千万别被困,憎恶
我们泄了的愤 让这些所有的恨,憎恶
积聚在一起最后带我回到丹镇,憎恶
不要觉得我喜欢被骗,憎恶
连我自己也亲眼看到,憎恶
不然我也不会知道你多贱,憎恶
没人见过我种出的玫瑰花,失恋
没人知道我不想再陪着她,失恋
没人听懂我说过的那些话,失恋
没人了解我几点钟回的家,失恋
就算我能够想起,失恋
那些的动作和场景,失恋
想醒来不在是白天,失恋
我的房间乱七八糟,失恋
如果不是我故意在发飙,失恋
那我可能还是她的家猫,失恋
没人见过我种出的玫瑰花,失恋
没人知道我不想再陪着她,失恋
没人听懂我说过的那些话,失恋
没人了解我几点钟回的家,失恋
如果能有一个好女孩出现,失恋
我也能够早一点铺垫,失恋
让我的细胞都突变,失恋
没人见过我种出的玫瑰花,失恋
没人知道我不想再陪着她,失恋
没人听懂我说过的那些话,失恋
没人了解我几点钟回的家,失恋
如果能有一个好女孩出现,失恋
我也能够早一点铺垫,失恋
让我的细胞都突变,失恋
从我屋里到你屋里 哦改咯堵,diss
从芙蓉路到五一路 哦改咯堵,diss
从劳动路上人民路 哦改咯久,diss
前面那部车快插一脚 哦改不走,diss
把喇叭按烂 还不是要在车里等,diss
到哒点准时变堵城 港不得么子狠,diss
看等车的放肆等 红绿灯放肆红,diss
人行道上站哒人 一堵车人就送搞沉,diss
国时候拦不到的 情况很常见,diss
的哥哈堵得路上 主干道到环线,diss
杨家山的转盘 整个很少转得动,diss
长沙人民在人民路 很难走得通,diss
所以交通部门 莫怪我多嘴,diss
玩得好的 堵得路上 要克河西陀腿,diss
还好地铁已经通哒 但只一条线,diss
未必600万城市人口 哈坐哒咯条2号线,diss
人越来越恶 车越来越多,diss
手机直接打开uber 聊撇得多,diss
早晚高峰曼得深 架场就不只一哈子,diss
当长沙已经堵起 你最好是丢嘎子,diss
从我屋里到你屋里 哦改咯堵,diss
从芙蓉路到五一路 哦改咯堵,diss
从劳动路上人民路 哦改咯久,diss
前面那部车快插一脚 哦改不走,diss
一是一 二是二 港话从不怕丑,diss
只要不丢嘎子的人 那都会怕堵,diss
各种好车 陆虎 捷豹 兰博基尼,diss
一堵起 摩的都似于你是比亚迪,diss
再五分钟就迟到 国哦是搞,diss
公交六月伏天冒空调 国哦得了,diss
上课 下课 上班 下班 冒几条好路,diss
开敞篷 玩浪漫 冒么子搞熟,diss
妹子哈港来场旅行 要喊走就走,diss
对不起 注意时间 咯里喊走就堵,diss
穿得崩称的出门 堵得心情好硕,diss
住得梅溪湖和东屯渡 真的好过,diss
摩的 11路 死飞 或 滑板,diss
听哈歌 其实路况冒那瞎眼,diss
出哒路 绝对nia你 看中哒你的美,diss
卡得五点半的平和堂 动不得一哈,diss
再莫催我到哒哪里哒 问不得一哈,diss
跟哒音乐一路哼 火干脆熄嘎哒,diss
真的怀念细的时候 只有趴趴趴,diss
最气的是 那电动车要斗哒你擂,diss
不管那多 他只晓得他碰哒你赔,diss
克DIANG{碰}哈公交车就晓得生命只有一回,diss
坐摩的哈港怕 坐黑的乱喊价,diss
做杂新手上路 也真的有蛮受黑,diss
才一起步 前面的士在路中间上客,diss
到底哦改咯堵 我真的急哒解手,diss
该杂点 就算你是四方坪车王,diss
该杂点 整个长沙 哈是停车场,diss
从他那里到我咯里 哦改咯堵,diss
从杨家山到万家丽 哦改咯堵,diss
一桥二桥堵得三桥 哦改咯久,diss
绿灯实在有俩三秒 哦改不走,diss
从我屋里到你屋里 哦改咯堵,diss
从芙蓉路到五一路 哦改咯堵,diss
从劳动路上人民路 哦改咯久,diss
前面那部车快插一脚 哦改不走,diss
Welcome to my CDC 我带你到处漫游,成功
从北门再到南门我们从来不用犯愁,成功
我开起挖掘机就拆了烂房子和烂楼,成功
我的区域我来负责,成功
另有目的的人全部都会被我杜绝,成功
从不遵守规则因为我们耍得出格,成功
所有兴奋剂都摆到面前马上准备注射,成功
永远少不到的都是那些狗狗还有 猫猫儿,成功
反正有些说唱永远都是skr kr,成功
我听你的说唱感觉像是没吃 ber ber,成功
所以你就不要在我面前假了,成功
在我身上是你永远学不会的洒脱,成功
随时我都跟我兄弟一起started from the bottom,成功
所有废铜烂铁全部都该交给我来打磨,成功
让我赤手空拳我也能够解决所有trouble,成功
这么狂妄那是因为拥有百分百的把握,成功
一天24个小时不停 hustle hustle hustle,成功
一直 hustle every day,成功
因为我们耍得野,成功
我的每段verse都能让你从头爽到尾,成功
做的每段事情都是为了要让你后悔,成功
写不出来这种歌词那就闭上你的嘴,成功
看哈哪个超些,成功
我认不到你我就不会接受你的邀约,成功
我们随时开起车子就在高速公路飙车,成功
等我卷走所有钞票之后我就远走高飞 yeah,成功
打开电脑你们全部都是行家,讨厌
网络上的行家,讨厌
永远只会键盘上面打字的行家,讨厌
当我走过荆棘之后我会变得更加强壮,
你对我的所有评论无法改变我的狂妄,
我身上的精力完全可以超乎你的想象,
我会得到属于我的 那是必须的,
我来掌控我的世界完全 不需要理解,
亲爱的妈妈别为我流泪,亲情
我只是太想过的纯粹,亲情
漫步在风中的街头朦胧的月光里沉醉,亲情
故事一回 接一回,失败
看看谁 还在我周围,失败
有些话一旦决定说出口之后就再也不能收回,失败
我跟着岁月的沙漏带着节奏不曾停留,失败
在高楼还是ghetto都是最美妙的时候,失败
前无归处 后无归路 在风中呼喊雨中漫步,失败
古老的城墙她伴着我看着我走着属于黄皮肤的路,失败
有多少的梦被摔得破碎,失败
有多少的人总是和你作对,失败
是多少清醒多少醉,失败
有多少柔情多少泪,失败
小雨点你就放心撒 我们早就已经决定了要去哪,失败
你总笑我为何看不透,失败
因为那些歌和那些梦我永远都做不够,失败
因为忘不了也忘不掉那真实的感受,失败
为什么没选择放下 你 一次次对我在说,失败
眼神 无限的放大 忘了 得失计算太多,失败
不是没想过 跌宕起伏的过程 会换来什么结果,失败
只怕想错 错过了 下一站 也许就能够得到解脱,失败
所以 你看到的是我在笑,失败
是我在 一遍遍接收着信号,失败
是我还不知道为什么硬 要 抬起头,失败
对抗着骇浪惊涛,失败
这世界 特别的大 特别容易 让我害怕,失败
特别要小心 不会被同化,失败
不要被洗脑 不被融化,失败
Maybe I'm Trippin. 可我爱这状态,成功
轻松的面对每个障碍,成功
不会在计较你夺走的那些,成功
我学会 如何才慷慨,成功
跟着我的感觉 再次迈开步,成功
放下了包袱 再次上路,成功
我只要这旋律不断重复,成功
我想追你撞破了头,失恋
你删了我装作不熟,失恋
我想爱你开不了口,失恋
我怕你会对我say no,失恋
我想要有一段婚姻,失恋
我怕你总不出声音,失恋
是我在无病呻吟,失恋
是我的样子狰狞,失恋
抱歉我没活成你要的样子,失恋
还记得我们都逛过的巷子,回忆
还记得我们的泛黄的相纸,回忆
还记得选你的戒指的样式,回忆
还记得我们都压过的马路,回忆
还记得我们都穿过的人群,回忆
还记得我们都吻过的唇印,回忆
还记得我们的那时候纯情,回忆
还记得我们的爱我们的恨,回忆
还记得我们的那时候笨,回忆
还记得我们的爱都很真,回忆
特别的生涩特别的深,回忆
回忆都扔掉一切都扔掉,回忆
把我们一切的一切都扔掉,回忆
承诺不生效热情都蒸掉,失恋
让人爱让人恨让人们生笑,失恋
有时候微信我发你的消息,失恋
你总是看见了装作不回,失恋
想起来曾经我发过的脾气,失恋
就想问你现在好点了没,失恋
也许是错了 也许又对了,失恋
只能说我们的运气很背,失恋
什么是廉价 什么是昂贵,失恋
只能说失去的才最珍贵,失恋
可是我现在又被她给吸引,失恋
聚焦在她美丽又娇小的背影,爱情
如果说这是我人生的陷阱,爱情
我只想把它们都拍成了电影,爱情
oh 我只想再迈一步,爱情
我猜她是我要的礼物,爱情
是发生在上海的梦境,爱情
是和她牵着手一起的风景,爱情
是灯光明亮又温暖的背景,爱情
是我们都想要收获的爱情,爱情
但如果结局能像童话,爱情
她能够给我我缺乏的安全感,爱情
那也无关我说过的大话,爱情
只要走的时候没留下了遗憾,爱情
三成的功力 展示我的功底,努力
Let me 加速领先他们三百公里,努力
山顶的风景 对我保持恭敬,努力
改正 我的词眼治好你的通病,努力
希望你假装的能够读懂,努力
这样显得你可能会比较聪明,努力
夜幕下看到我的双目炯炯,努力
那什么时候才能允许通行,努力
隔壁的bro 别跟我一起roll,努力
让你知道我在哪里看到你就发了愁,努力
特别拔萃的flow 占领整个北美洲,努力
从来都是保持冷静不看美式橄榄球,努力
新鲜的血液被传输到这里,努力
你那瓶可乐都已经给过气,努力
每一个韵脚被研发地很彻底,努力
capper会取得最终的胜利 Ay,努力
视角会很迷离每当你陷入了真实陷阱,努力
什么都分不清上瘾的可能性重新奠定,努力
黄金早遍地的圈子里没人会劝你走开,努力
Ay 还可以继续,diss
莫些人妄想打断我的记忆,diss
我不会生活在戏里,diss
但是我周围的一切我早就看透,diss
无非是diss加几场battle,diss
我想要提升的level uh,diss
把狠货全部都搬走,diss
几千双眼睛在盯着,diss
漆黑的房间里我认真听着,diss
不会为误解去拼了,diss
什么是新的 我都听清了,diss
酒醉一盅,中国风
薄雾中刀剑的声,中国风
街道旁还亮着灯,中国风
我会为我自己撑着,中国风
修炼的功,中国风
听着那夜晚的风,中国风
镜子里自己的影子也不知是谁,中国风
听着那窗外的雷,中国风
我只想,中国风
再一次捡起那断了的刀,中国风
那怕已死了几回,中国风
只要有口气就得靠自己奋斗,努力
你只能在旁边pick up the phone,努力
告诉他们没有任何解锁我的办法,努力
为了我的以后我得一直不停创造,努力
拼了命的状态让我从来没有心思睡觉,努力
分清掌握摸透局势比你将来赚得多,努力
而你只能原地爆炸赶紧叫辆车,努力
现在承认是你曾经眼瞎犯的错,努力
摇下车窗看你过来贴着抱紧我,努力
毒液扩散你的细胞让你害怕,成功
随便叫人过来搭救都是白搭,成功
我知道这次后没人会记住你,成功
随便你嫉妒起还是要计数器,成功
但是要提醒你,
yeah i'm 活着的艺术品,
琴声萧瑟 忍者决斗擦肩,中国风
手起刀落 再为你送上花圈,中国风
丑角还想唱花脸 就继续让他演,中国风
留下精华去其糟粕 剩下交给时间快马加鞭,中国风
一面倒的赔率在打庄家脸 实力频段不同兆赫 无法相加减,中国风
都是泥菩萨过河非把自己装成八仙,中国风
一群只会打版盗刻 的丧家犬,中国风
烟雾弹 夜行衣 手里剑 江湖忍者必备的三件套,中国风
如今my ninja都揭掉了面纱 跟风的也戴起了弯檐帽,中国风
耳机里放送的旋律不再是兴奋剂而更像是安眠药,中国风
但还好剩一碗不变的情怀 老板千万别 千万别换原料,中国风
极端地恋旧第三个年头 老地方一醉方休能解千愁,中国风
一贯的节奏期盼着邂逅 管你混的好不好几位数片酬,中国风
文字记载神秘配方的卷轴 我的声音变成麦克风的电流,中国风
世界都 拿起筷子别问缘由,中国风
就从长安传播到了全球 Woah ~,中国风
想说的话 总憋在心里 没按下拨号键,失恋
已经过了这么久没见你还会不会听我说抱歉,失恋
心情像八月的雨季整个城市上空阴晴不定,失恋
只能选择我退你进有些东西都一切早已注定,失恋
少你的生活 就变得无趣 只剩下喝酒抽烟,失恋
变得越来越少露面工作到颠倒了昼夜,失恋
人来人往回头看 才发觉你早已经消失在我后面,失恋
似乎还没有回过神不太适应你不在的环境,失恋
有时侯 朋友问到 我和你之间 可偏偏 一言难尽,失恋
如果分开能让你变得更好的话就不值得过去留恋,失恋
不如忘得干净利落趁早你说过谁的忍耐都有限,失恋
现在的我没有办法不得不离开,失恋
多想和你的相遇那只是场意外,失恋
